Store Name,Ownership Type,Address Line 1,Address Line 2,City,Province/State,Postal Code,Latitude,Longitude
KFC Shimla,Franchisee,"KFC Restaurant, Comberemere Building, A Block,","First Floor,Mall Road, Shimla",Shimla,Himachal Pradesh,171001,31.102237,77.177561
KFC Goldighi Mall Silchar,Franchisee,KFC Goldighi Mall 3rd Floor,"Central Road  Premtola,",Silchar,Assam,781001,24.8227452,92.7995342
KFC Siliguri,Franchisee,"Shop No A 02 / 03, City Centre Mall, Matigara","Ambuja Reality, Uttorayon, Siliguri",Siliguri,West Bengal,734005,26.7240706,88.3946466
KFC RBD Siliguri Sevoke Road,Franchisee,"Ashoka Complex, Near Payal Cinema Hall,","597 Sevoke Road,",Siliguri,West Bengal,734001,26.728666,88.43066
"KFC Vega Circle, Siliguri",Franchisee,"KFC Restaurant,  Shop No.7, 4th Floor, Vega Circle Mall, Tirupati Plaza Pvt. Ltd.,","3rd Mile, Sevokes Road,",Siliguri,West Bengal,734008,26.752602,88.439006
KFC Sonipat DT,Franchisee,Kassel Grand Plaza,Kundli,Sonipat,Haryana,131028,28.8691726,77.1201715
KFC RBD Surat Central,Franchisee,"Central Mall, Ground Floor,","Opp. Valentine Mall, Dumas Road",Surat,Gujarat,390007,21.154778,72.764934
KFC RBD Thalassery,Franchisee,Hyson Restaurant Pvt Ltd,"Dhana Tower, Narangapuram, Thalasery",Thalasery,Kerala,670102,11.7481357,75.4939458
THE WALK-HIRANANDANI ESTATE,Franchisee,"THE WALK, S-1, HIRANANDANI ESTATE ROAD,","HIRANANDANI ESTATE,THANE-WEST",THANE,Maharashtra,400607,19.25589,72.983651
KFC JIPMER,Franchisee,"Old Survey No 213/3, New Survey No 238/2","Plot No 10 to 21, Pattanur Village",Thindivanam,Tamil Nadu,605111,11.960395,79.7948299
KFC Pattom,Company,"Sree Dhanya, Shop no. T.C. 2/3604,","Keshavadasapuram,",Thiruvananthapuram,Kerala,695011,8.5283079,76.938626
